,locality
0,Malleswaram
1,Jeevanbhima Nagar
2,Others
3,Padmanabha Nagar
4,Katriguppe
5,Hosa Tippasandra
6,Wilson Garden
7,Vignananagar
8,Puttenahalli
9,BTM Layout
10,Jakkasandra
11,BTM Layout
12,Subramanyapura
13,Lal Bahadur Shastri Nagar
14,Kadugodi
15,Vimanapura
16,Adugodi
17,Shakambari Nagar
18,Lal Bahadur Shastri Nagar
19,Konena Agrahara Ward
20,JP Nagar
21,AGS Layout
22,Domlur
23,Bhuvaneshwari Nagar
24,Bellanduru
25,Hosa Tippasandra
26,Vrisabhavathi Nagar
27,Hanumantha Nagar
28,Vignananagar
29,Jayanagar
30,Koramangala
31,Kaggadasapura
32,Katriguppe
33,JP Nagar
34,Srinivasapura
35,Ejipura
36,Marathahalli
37,Hongasandra
38,Thyagaraja Nagar
39,Sunkenahalli Ward
40,Lakkasandra
41,Jayanagar
42,Jaraganahalli Ward
43,HAL Airport Ward
44,Udaya Nagar
45,Narayanapura
46,JP Nagar
47,JP Nagar
48,Thippasandra
49,Lal Bahadur Shastri Nagar
50,JP Nagar
51,Jayanagar
52,BTM Layout
53,BTM Layout
54,Bhuvaneshwari Nagar
55,Suddagunte Palya Ward
56,Malleshpalya
57,Narayanapura
58,Avalahalli
59,Others
60,Sriramamandir Ward
61,HAL Airport Ward
62,Bellanduru
63,Bhuvaneshwari Nagar
64,Girinagar
65,HSR Layout
66,Hosa Tippasandra
67,Kamakshi Palya
68,Bilekahalli
69,Marenahalli
70,BTM Layout
71,Katriguppe
72,Jnana Bharathi
73,Vidyapeeta ward
74,Banashankari
75,BTM Layout
76,Dodda Nekkundi
77,HSR Layout
78,Suddagunte Palya Ward
79,Munekolala
80,Hampi Nagar
81,Hosa Tippasandra
82,Sarvagna Nagar
83,Kamakshi Palya
84,Kadugodi
85,Sarakki
86,Hosakerehalli
87,HSR Layout
88,Lakkasandra
89,Basavanagudi
90,Rajarajeshwari Nagar
91,Lakkasandra
92,Avalahalli
93,HSR Layout
94,Kaggadasapura
95,Girinagar
96,Koramangala
97,Koramangala
98,Vishveshwara Puram
99,Banashankari
100,BTM Layout
101,Hagadur
102,Bellanduru
103,AECS Layout
104,Lal Bahadur Shastri Nagar
105,Others
106,Sarvagna Nagar
107,Hosa Tippasandra
108,Byrasandra Ward
109,Sampangiram Nagar Ward
110,HSR Layout
111,HAL Airport Ward
112,Maruthi Mandir ward
113,Lal Bahadur Shastri Nagar
114,Konena Agrahara Ward
115,Munekolala
116,Others
117,Koramangala
118,Kadugodi
119,Hosakerehalli
120,Sriramamandir Ward
121,BTM Layout
122,HSR Layout
123,HSR Layout
124,Adugodi
125,BTM Layout
126,Hampi Nagar
127,Jayanagar
128,HSR Layout
129,Narayanapura
130,Hoysala Nagara
131,Vignananagar
132,Katriguppe
133,Vijayanagar
134,Kottigepalya
135,BTM Layout
136,Karisandra Ward
137,HSR Layout
138,Kumaraswamy Layout
139,Byrasandra Ward
140,Vasanthpura Ward
141,Maruthi Seva Nagar
142,Jakkasandra
143,HSR Layout
144,Lal Bahadur Shastri Nagar
145,Bellanduru
146,Jogupalya
147,Shakambari Nagar
148,Gali Anjenaya Temple ward
149,Narayanapura
150,Girinagar
151,Hosa Tippasandra
152,Kumaraswamy Layout
153,Kaveri Layout
154,Girinagar
155,Hoysala Nagara
156,Others
157,Shankar Matt Ward
158,Bellanduru
159,Puttenahalli
160,Yelchenahalli Ward
161,Jnana Bharathi
162,Pantarapalya
163,Varthur
164,Basavanagudi
165,Banashankari
166,Nagarabhavi
167,Madiwala
168,Jayanagar
169,Sriramamandir Ward
170,Jakkasandra
171,Maruthi Mandir ward
172,Hagadur
173,Varthur
174,Kaveri Layout
175,BTM Layout
176,HAL Airport Ward
177,Kadugodi
178,Bellanduru
179,JP Nagar
180,JP Nagar
181,Others
182,Dodda Nekkundi
183,Bhuvaneshwari Nagar
184,Yelchenahalli Ward
185,Sriramamandir Ward
186,Vignananagar
187,Kadugodi
188,Madiwala
189,HSR Layout
190,Bellanduru
191,Hosa Tippasandra
192,Jnana Bharathi
193,Bommanahalli
194,VV Puram
195,Kaveri Layout
196,Hanumantha Nagar
197,Banashankari
198,Jaraganahalli Ward
199,Hagadur
200,GM Palya
201,Ejipura
202,Suddagunte Palya Ward
203,Suddagunte Palya Ward
204,Vidyapeeta ward
205,Haralur
206,Others
207,Koramangala
208,Others
209,Madiwala
210,Kumaraswamy Layout
211,Shivanagara
212,Nagarabhavi
213,Rajarajeshwari Nagar
214,Banashankari
215,JP Nagar
216,Others
217,Munekolala
218,JP Nagar
