type,locality,property_size,property_age,bathroom,facing,cup_board,floor,water_supply,building_type,balconies,rent,LIFT,GYM,INTERNET,AC,CLUB,INTERCOM,POOL,CPA,FS,SERVANT,SECURITY,SC,GP,RWH,STP,HK,PB,VP,furnishing_encoded,parking_encoded
3,Gandhinagar,1200,2,1,2,0,1,2,1,1,15000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,BTM Layout,1200,10,2,2,0,1,1,1,1,21000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,Munekolala,600,1,1,2,2,2,1,1,1,14000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
3,Bommanahalli,1100,10,2,1,2,1,2,1,1,15000,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
3,Sitaramapalya,1200,10,2,2,2,0,2,1,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
3,Vannarpetai,800,12,1,2,2,0,1,1,0,10000,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
3,Kaveri Layout,500,10,1,1,2,2,2,1,0,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,Hoysala Nagara,250,10,1,2,1,0,1,1,0,11000,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
1,Dodda Nekkundi,250,0,1,1,1,3,1,1,0,9000,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
3,HAL Airport Ward,850,1,2,1,2,2,1,1,1,19000,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
3,Byrasandra Ward,1050,10,1,2,3,2,2,1,0,16000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
3,Lakkasandra,900,12,1,1,2,2,2,1,1,15000,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
3,Hanumantha Nagar,900,7,2,3,3,0,1,1,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3
2,BTM Layout,400,10,1,2,0,0,2,1,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Chikkalasandra,800,8,2,2,2,1,2,1,0,12500,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,Jogupalya,120,5,1,3,1,3,2,1,0,8000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2,Wilson Garden,650,10,1,2,1,1,2,1,1,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
3,Rajarajeshwari Nagar,900,5,2,1,2,1,2,1,0,13500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,Hosa Tippasandra,1000,5,2,2,1,2,1,1,1,13000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,Banashankari,1900,10,2,2,2,0,2,1,2,33000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3
3,JP Nagar,600,6,1,2,1,2,1,1,0,10000,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2,Kodihalli,600,5,1,4,1,0,2,1,2,16000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,HAL Airport Ward,500,4,1,2,1,1,1,1,1,9000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,Marathahalli,400,0,1,1,1,2,2,1,0,10000,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2,Haralur,800,3,1,1,3,2,2,1,1,9500,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
3,Mangammanapalya,1150,1,2,2,1,0,3,1,0,16000,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3
2,Koramangala,450,5,1,2,1,0,1,1,0,14000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,HSR Layout,448,5,1,1,1,3,1,1,0,14000,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
3,Rajarajeshwari Nagar,1250,5,2,1,2,1,1,1,1,10500,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2
2,Pattanagere,550,0,1,2,1,4,2,1,1,9000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
4,HSR Layout,2100,8,3,2,3,1,2,1,1,40000,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,3
3,AGS Layout,1500,16,2,2,1,1,2,1,0,9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,Hombegowda Nagara,700,1,1,3,1,2,2,1,1,12000,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1
3,Hosa Tippasandra,600,15,2,3,0,0,2,1,0,15000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,ISRO Layout,1000,15,2,2,0,2,1,1,1,15000,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,Adugodi,500,4,1,2,1,2,1,1,1,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,Katriguppe,900,15,2,4,2,0,2,1,0,16000,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,3
3,Koramangala,900,15,1,1,0,0,2,1,0,25000,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
3,Hosa Tippasandra,1150,23,2,1,2,1,1,1,0,25000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,Mahadevapura,900,5,2,1,2,0,1,1,0,12500,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0
3,Rajarajeshwari Nagar,1200,4,2,2,2,1,1,1,0,11000,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1
3,Vannarpetai,750,8,1,1,2,1,2,1,1,11000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
3,Haralur,1100,3,2,2,2,1,3,1,1,16500,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,3
5,Cox Town,2000,15,2,2,3,1,2,1,2,26000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
3,Avalahalli,600,6,1,2,2,0,2,1,0,9000,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
3,Karisandra Ward,1500,5,1,1,2,3,3,1,0,12500,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
3,Bhuvaneshwari Nagar,950,10,1,2,2,2,2,1,1,12000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,Others,700,1,1,2,0,2,1,1,1,12000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,HAL Airport Ward,1200,0,2,1,2,0,2,1,0,15000,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
3,Hampi Nagar,750,15,1,1,1,1,1,1,1,9000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
3,Bellanduru,800,10,2,2,2,2,3,1,2,16500,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
3,Hagadur,1000,5,2,2,2,0,1,1,0,14000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,Bellanduru,750,0,2,2,2,1,3,1,1,15000,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2
2,JP Nagar,600,4,1,1,0,2,1,1,0,12500,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
4,Basavanagudi,1000,5,2,1,2,0,2,1,0,15000,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,HSR Layout,300,0,1,2,1,3,3,1,0,8000,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,3
2,Suddagunte Palya Ward,450,9,1,2,0,1,1,1,1,12000,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2
4,Shanthi Nagar,1000,7,1,1,3,1,2,1,1,20000,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
3,Vignananagar,975,3,2,2,2,1,1,1,2,16000,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,3
3,BTM Layout,600,0,2,1,2,1,2,1,0,10000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,Madiwala,700,2,1,2,1,0,2,1,0,10500,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
3,Yelchenahalli Ward,600,5,1,1,2,1,2,1,1,11000,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0
3,Narayanapura,1000,8,2,2,2,0,1,1,1,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
4,Ittamadu,1350,9,3,1,3,2,2,1,0,18000,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3
3,Koramangala,1100,1,2,2,0,4,1,1,1,30000,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3
2,Dodda Nekkundi,350,5,1,1,1,1,1,1,1,9000,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
3,Others,600,20,2,1,2,1,2,1,0,12000,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
3,JP Nagar,1100,15,2,4,3,1,1,1,1,17500,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
3,HAL Airport Ward,1300,4,2,4,2,0,2,1,2,17000,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3
2,Haralur,650,5,1,1,1,0,3,1,0,11000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,BTM Layout,800,20,2,4,2,0,2,1,0,16000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,Bommanahalli,800,0,2,2,0,0,2,1,0,10000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Rajarajeshwari Nagar,800,10,1,2,2,0,1,1,0,10000,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2,Maruthi Seva Nagar,500,1,1,1,0,1,2,1,1,11000,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
2,Dodda Nekkundi,1200,0,1,1,1,1,2,1,1,12500,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3
3,JP Nagar,500,5,1,4,0,1,1,1,1,10000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
3,HSR Layout,950,10,2,2,2,0,2,1,0,23000,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
3,Bhuvaneshwari Nagar,1000,12,2,2,3,1,2,1,1,16000,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
2,Munekolala,600,5,1,3,1,2,2,1,0,10500,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0
3,Yelchenahalli Ward,600,9,3,1,3,0,1,1,1,15000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
3,Yediyur Ward,600,6,1,2,1,2,1,1,0,10000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,Ejipura,800,15,1,2,2,0,1,1,0,10000,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
3,AGS Layout,700,1,2,1,1,1,2,1,0,10000,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
4,Banashankari,1200,0,2,1,3,3,2,1,1,25000,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,3
3,Kumaraswamy Layout,675,4,1,3,2,1,2,1,0,12500,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,Konena Agrahara Ward,600,4,1,2,2,1,2,1,0,15000,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
3,Bhuvaneshwari Nagar,1200,5,1,2,2,1,3,1,0,14000,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
3,Mangammanapalya,700,0,2,2,2,2,1,1,1,15000,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0
3,Dodda Nekkundi,1100,0,2,1,2,1,1,1,1,18500,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
3,Madiwala,1100,9,2,1,3,0,1,1,0,19500,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,Vijayanagar,500,10,1,2,0,0,1,1,0,9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Madiwala,600,0,2,3,2,3,2,1,0,14000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
3,HSR Layout,950,4,2,2,2,1,2,1,1,23000,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3
3,Jaraganahalli Ward,750,3,1,1,0,1,1,1,1,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,Hoysala Nagara,300,10,1,3,0,1,2,1,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,BCC Layout,950,0,2,1,2,2,2,1,1,18000,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,2
3,Puttenahalli,1400,0,2,1,2,2,2,1,1,30000,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,3
1,Koramangala,200,6,1,1,1,2,1,1,1,10000,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
3,Bellanduru,1000,4,2,2,2,0,3,1,0,16500,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
3,Jnana Bharathi,1200,0,2,2,2,1,2,1,2,20000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1
4,Katriguppe,1000,0,2,2,3,1,2,1,1,16000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2,Jayanagar,450,8,1,1,1,2,2,1,1,12000,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
3,Ejipura,850,3,2,1,2,0,2,1,0,15000,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0
3,Jakkasandra,1200,10,2,3,3,0,2,1,0,18000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
4,Gurappanapalya Ward,1200,4,3,1,2,1,3,1,1,27000,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,2
3,C V Raman Nagar,800,1,2,2,1,1,2,1,1,17500,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
3,GM Palya,1250,8,2,2,3,0,2,1,1,18500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
3,HSR Layout,950,1,2,1,2,2,1,1,0,24000,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
3,Lakkasandra,1200,10,2,1,2,1,1,1,1,25000,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,3
3,Rajarajeshwari Nagar,1000,0,2,2,2,0,2,1,0,10000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,Jayanagar,600,20,1,2,3,0,2,1,0,17000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,Madiwala,600,15,1,1,0,2,2,1,1,11500,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2,Jeevanbhima Nagar,200,0,1,4,1,2,2,1,1,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0
3,Kumaraswamy Layout,600,0,1,4,2,1,2,1,0,11500,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2,Srinagar,600,1,1,1,2,3,2,1,1,10000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
3,Devarabeesanahalli,700,1,1,2,2,1,3,1,1,15000,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
