,type,locality,furnishing,parking,property_size,property_age,bathroom,facing,cup_board,floor,water_supply,building_type,balconies,rent,LIFT,GYM,INTERNET,AC,CLUB,INTERCOM,POOL,CPA,FS,SERVANT,SECURITY,SC,GP,RWH,STP,HK,PB,VP,city,furnishing_encoded,parking_encoded
14,3,Gandhinagar,NOT_FURNISHED,TWO_WHEELER,1200,2.0,1.0,2,0.0,1.0,2,1,1.0,15000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
16,4,BTM Layout,SEMI_FURNISHED,TWO_WHEELER,1200,10.0,2.0,2,0.0,1.0,1,1,1.0,21000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
20,3,Munekolala,SEMI_FURNISHED,NONE,600,1.0,1.0,2,2.0,2.0,1,1,1.0,14000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1
23,3,Bommanahalli,SEMI_FURNISHED,TWO_WHEELER,1100,10.0,2.0,1,2.0,1.0,2,1,1.0,15000.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0
24,3,Sitaramapalya,SEMI_FURNISHED,BOTH,1200,10.0,2.0,2,2.0,0.0,2,1,0.0,20000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
26,3,Vannarpetai,SEMI_FURNISHED,NONE,800,12.0,1.0,2,2.0,0.0,1,1,0.0,10000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1
28,3,Kaveri Layout,SEMI_FURNISHED,NONE,500,10.0,1.0,1,2.0,2.0,2,1,0.0,9000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
31,1,Hoysala Nagara,SEMI_FURNISHED,TWO_WHEELER,250,10.0,1.0,2,1.0,0.0,1,1,0.0,11000.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0
33,1,Dodda Nekkundi,SEMI_FURNISHED,TWO_WHEELER,250,0.0,1.0,1,1.0,3.0,1,1,0.0,9000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0
36,3,HAL Airport Ward,SEMI_FURNISHED,TWO_WHEELER,850,1.0,2.0,1,2.0,2.0,1,1,1.0,19000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1,0
37,3,Byrasandra Ward,SEMI_FURNISHED,TWO_WHEELER,1050,10.0,1.0,2,3.0,2.0,2,1,0.0,16000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0
41,3,Lakkasandra,SEMI_FURNISHED,TWO_WHEELER,900,12.0,1.0,1,2.0,2.0,2,1,1.0,15000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,0
43,3,Hanumantha Nagar,SEMI_FURNISHED,BOTH,900,7.0,2.0,3,3.0,0.0,1,1,0.0,18000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,3
47,2,BTM Layout,NOT_FURNISHED,TWO_WHEELER,400,10.0,1.0,2,0.0,0.0,2,1,0.0,10000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
48,3,Chikkalasandra,SEMI_FURNISHED,TWO_WHEELER,800,8.0,2.0,2,2.0,1.0,2,1,0.0,12500.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
50,1,Jogupalya,SEMI_FURNISHED,TWO_WHEELER,120,5.0,1.0,3,1.0,3.0,2,1,0.0,8000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0
51,2,Wilson Garden,SEMI_FURNISHED,TWO_WHEELER,650,10.0,1.0,2,1.0,1.0,2,1,1.0,9000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0
