,type,locality,property_size,property_age,bathroom,facing,cup_board,floor,water_supply,building_type,balconies,rent,LIFT,GYM,INTERNET,AC,CLUB,INTERCOM,POOL,CPA,FS,SERVANT,SECURITY,SC,GP,RWH,STP,HK,PB,VP,furnishing_encoded,parking_encoded
0,3,Gandhinagar,1200,2,1,2,0,1,2,1,1,15000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,BTM Layout,1200,10,2,2,0,1,1,1,1,21000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,3,Munekolala,600,1,1,2,2,2,1,1,1,14000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
3,3,Bommanahalli,1100,10,2,1,2,1,2,1,1,15000.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
4,3,Sitaramapalya,1200,10,2,2,2,0,2,1,0,20000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
5,3,Vannarpetai,800,12,1,2,2,0,1,1,0,10000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
6,3,Kaveri Layout,500,10,1,1,2,2,2,1,0,9000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7,1,Hoysala Nagara,250,10,1,2,1,0,1,1,0,11000.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
8,1,Dodda Nekkundi,250,0,1,1,1,3,1,1,0,9000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
9,3,HAL Airport Ward,850,1,2,1,2,2,1,1,1,19000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
10,3,Byrasandra Ward,1050,10,1,2,3,2,2,1,0,16000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
11,3,Lakkasandra,900,12,1,1,2,2,2,1,1,15000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
12,3,Hanumantha Nagar,900,7,2,3,3,0,1,1,0,18000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3
13,2,BTM Layout,400,10,1,2,0,0,2,1,0,10000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,3,Chikkalasandra,800,8,2,2,2,1,2,1,0,12500.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15,1,Jogupalya,120,5,1,3,1,3,2,1,0,8000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
16,2,Wilson Garden,650,10,1,2,1,1,2,1,1,9000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
17,3,Rajarajeshwari Nagar,900,5,2,1,2,1,2,1,0,13500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18,3,Hosa Tippasandra,1000,5,2,2,1,2,1,1,1,13000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19,4,Banashankari,1900,10,2,2,2,0,2,1,2,33000.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3
20,3,JP Nagar,600,6,1,2,1,2,1,1,0,10000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
21,2,Kodihalli,600,5,1,4,1,0,2,1,2,16000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22,2,HAL Airport Ward,500,4,1,2,1,1,1,1,1,9000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
23,2,Marathahalli,400,0,1,1,1,2,2,1,0,10000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
24,2,Haralur,800,3,1,1,3,2,2,1,1,9500.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
25,3,Mangammanapalya,1150,1,2,2,1,0,3,1,0,16000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3
26,2,Koramangala,450,5,1,2,1,0,1,1,0,14000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
