,Property Type,Property Size,Property Age,Number of Bathrooms,Property Facing Direction,Cupboard Availability,Floor Information,Water Supply Type,Building Type,Number of Balconies,Property Rent,Lift Availability,Gym Availability,Internet Availability,Air Conditioning Availability,Clubhouse Availability,Intercom Availability,Pool Availability,Covered Parking Availability,Fire Safety Measures,Servant Room Availability,Security Measures,Solar Charging Availability,Greenery/Park View,Rainwater Harvesting Availability,Sewage Treatment Plant Availability,Housekeeping Services,Power Backup Availability,Visitor Parking Availability,Furnishing Type (Encoded),Parking Type (Encoded),Property Zone - Bangalore East,Property Zone - Bangalore North,Property Zone - Bangalore South
14,3,1200,2,1,2,0,1,2,1,1,15000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16,4,1200,10,2,2,0,1,1,1,1,21000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
20,3,600,1,1,2,2,2,1,1,1,14000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
23,3,1100,10,2,1,2,1,2,1,1,15000.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
24,3,1200,10,2,2,2,0,2,1,0,20000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0
26,3,800,12,1,2,2,0,1,1,0,10000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0
28,3,500,10,1,1,2,2,2,1,0,9000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
31,1,250,10,1,2,1,0,1,1,0,11000.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
33,1,250,0,1,1,1,3,1,1,0,9000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
36,3,850,1,2,1,2,2,1,1,1,19000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
