type,locality,gym,lift,swimming_pool,negotiable,property_size,property_age,bathroom,facing,cup_board,floor,total_floor,water_supply,building_type,balconies,rent,LIFT,GYM,INTERNET,AC,CLUB,INTERCOM,POOL,CPA,FS,SERVANT,SECURITY,SC,GP,PARK,RWH,STP,HK,PB,VP,city,furnishing_encoded,parking_encoded
3,Bellanduru,0,1,0,1,1400,4.0,2.0,1,2.0,3.0,4.0,CORPORATION,AP,2.0,22000.0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,Bengaluru,1,3
2,BCC Layout,0,0,0,1,600,3.0,1.0,2,1.0,1.0,2.0,CORPORATION,IH,0.0,8000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bengaluru,1,1
4,Kodihalli,0,0,0,1,1500,15.0,3.0,2,4.0,0.0,0.0,CORPORATION,IH,1.0,45000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,Bengaluru,1,3
2,Sitaramapalya,1,1,1,1,1080,0.0,2.0,2,1.0,3.0,5.0,CORP_BORE,AP,2.0,18000.0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,Bengaluru,1,3
4,Hagadur,1,1,1,1,1895,5.0,3.0,1,5.0,3.0,9.0,CORPORATION,AP,3.0,32000.0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,Bengaluru,2,3
3,Jakkasandra,0,0,0,1,1000,10.0,2.0,3,2.0,0.0,2.0,CORP_BORE,IH,0.0,22000.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,Bengaluru,1,3
3,Banashankari,0,0,0,0,900,10.0,2.0,3,2.0,0.0,1.0,CORPORATION,IH,0.0,10000.0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,Bengaluru,1,0
3,Hagadur,1,1,0,1,1290,4.0,2.0,2,4.0,2.0,4.0,CORP_BORE,AP,2.0,19500.0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,Bengaluru,1,3
3,Srinivasapura,0,0,0,1,1200,2.0,2.0,2,4.0,1.0,2.0,CORPORATION,IF,1.0,12500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bengaluru,1,3
3,Hoodi,1,1,0,1,1300,8.0,2.0,1,2.0,1.0,4.0,CORPORATION,AP,2.0,32000.0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,Bengaluru,2,2
3,Rajarajeshwari Nagar,0,1,0,1,930,7.0,2.0,2,2.0,1.0,4.0,CORPORATION,AP,1.0,11000.0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,Bengaluru,1,3
3,Hoodi,1,1,1,0,1418,4.0,2.0,2,2.0,11.0,14.0,CORP_BORE,AP,2.0,32500.0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,Bengaluru,1,2
2,Konena Agrahara Ward,0,0,0,1,600,10.0,1.0,2,1.0,2.0,2.0,CORPORATION,IH,0.0,12000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Bengaluru,1,1
3,Gandhinagar,0,0,0,1,1200,2.0,1.0,2,0.0,1.0,3.0,CORP_BORE,IF,1.0,15000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Bengaluru,0,1
4,Maruthi Seva Nagar,0,0,0,0,1200,3.0,2.0,2,2.0,1.0,3.0,CORPORATION,IH,2.0,18500.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,Bengaluru,1,1
4,BTM Layout,0,0,0,0,1200,10.0,2.0,2,0.0,1.0,2.0,CORPORATION,IF,1.0,21000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bengaluru,1,1
3,Agaram,0,1,0,1,1084,10.0,2.0,2,2.0,0.0,4.0,CORPORATION,AP,3.0,24000.0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,Bengaluru,1,3
3,Dodda Nekkundi,1,1,0,1,1285,3.0,2.0,4,2.0,0.0,5.0,BOREWELL,AP,0.0,27000.0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,0,1,0,Bengaluru,1,2
3,Munekolala,0,0,0,1,600,1.0,1.0,2,2.0,2.0,2.0,CORPORATION,IF,1.0,14000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Bengaluru,1,0
