,type,locality,furnishing,parking,property_size,property_age,bathroom,facing,cup_board,floor,water_supply,building_type,balconies,rent,LIFT,GYM,INTERNET,AC,CLUB,INTERCOM,POOL,CPA,FS,SERVANT,SECURITY,SC,GP,RWH,STP,HK,PB,VP,city,furnishing_encoded,parking_encoded
0,BHK2,Bellanduru,SEMI_FURNISHED,BOTH,1400,4.0,2.0,N,2.0,3.0,CORPORATION,3,2.0,22000.0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,Bengaluru,1,3
2,BHK1,BCC Layout,SEMI_FURNISHED,TWO_WHEELER,600,3.0,1.0,E,1.0,1.0,CORPORATION,2,0.0,8000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bengaluru,1,0
3,BHK3,Kodihalli,SEMI_FURNISHED,BOTH,1500,15.0,3.0,E,4.0,0.0,CORPORATION,2,1.0,45000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Bengaluru,1,3
4,BHK1,Sitaramapalya,SEMI_FURNISHED,BOTH,1080,0.0,2.0,E,1.0,3.0,CORP_BORE,3,2.0,18000.0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,Bengaluru,1,3
5,BHK3,Hagadur,FULLY_FURNISHED,BOTH,1895,5.0,3.0,N,5.0,3.0,CORPORATION,3,3.0,32000.0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,Bengaluru,2,3
6,BHK2,Jakkasandra,SEMI_FURNISHED,BOTH,1000,10.0,2.0,S,2.0,0.0,CORP_BORE,2,0.0,22000.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,Bengaluru,1,3
7,BHK2,Banashankari,SEMI_FURNISHED,NONE,900,10.0,2.0,S,2.0,0.0,CORPORATION,2,0.0,10000.0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Bengaluru,1,1
8,BHK2,Hagadur,SEMI_FURNISHED,BOTH,1290,4.0,2.0,E,4.0,2.0,CORP_BORE,3,2.0,19500.0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,Bengaluru,1,3
9,BHK2,Srinivasapura,SEMI_FURNISHED,BOTH,1200,2.0,2.0,E,4.0,1.0,CORPORATION,1,1.0,12500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bengaluru,1,3
10,BHK2,Hoodi,FULLY_FURNISHED,FOUR_WHEELER,1300,8.0,2.0,N,2.0,1.0,CORPORATION,3,2.0,32000.0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,Bengaluru,2,2
11,BHK2,Rajarajeshwari Nagar,SEMI_FURNISHED,BOTH,930,7.0,2.0,E,2.0,1.0,CORPORATION,3,1.0,11000.0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,Bengaluru,1,3
12,BHK2,Hoodi,SEMI_FURNISHED,FOUR_WHEELER,1418,4.0,2.0,E,2.0,11.0,CORP_BORE,3,2.0,32500.0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,Bengaluru,1,2
13,BHK1,Konena Agrahara Ward,SEMI_FURNISHED,TWO_WHEELER,600,10.0,1.0,E,1.0,2.0,CORPORATION,2,0.0,12000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Bengaluru,1,0
14,BHK2,Gandhinagar,NOT_FURNISHED,TWO_WHEELER,1200,2.0,1.0,E,0.0,1.0,CORP_BORE,1,1.0,15000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bengaluru,0,0
15,BHK3,Maruthi Seva Nagar,SEMI_FURNISHED,TWO_WHEELER,1200,3.0,2.0,E,2.0,1.0,CORPORATION,2,2.0,18500.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,Bengaluru,1,0
16,BHK3,BTM Layout,SEMI_FURNISHED,TWO_WHEELER,1200,10.0,2.0,E,0.0,1.0,CORPORATION,1,1.0,21000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bengaluru,1,0
18,BHK2,Agaram,SEMI_FURNISHED,BOTH,1084,10.0,2.0,E,2.0,0.0,CORPORATION,3,3.0,24000.0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,Bengaluru,1,3
